,url,machine_coder_type_res,human_coder_type_res_1,human_coder_type_res_2
0,https://about.fb.com/news/2021/02/community-standards-enforcement-report-q4-2020/,"('Commitment to independent third-party audit of content moderation systems', [3])","(' Each post is ranked by processes that take into account a combination of integrity signals, such as how likely a piece of content is to violate our policies, as well as signals we receive from people, such as from surveys or actions they take on our platform like hiding or reporting posts. Improving how we use these signals helps tailor News Feed to each individual’s preferences, and also reduces the number of times we display posts that later may be determined to violate our policies.', [1])","('New methods of using ranking system to identify harmful content', [1])"
1,https://about.fb.com/news/2022/07/oversight-board-advise-covid-19-misinformation-measures/,"('Consultation with health experts to identify harmful COVID-19 misinformation.', [2, 3])","('Lift COVID-19 misinformation policies that were initially triggered by global public health emergency declarations', [3])","('A resource for Covid-19 information', [2])"
2,https://about.fb.com/news/2023/02/helping-prevent-the-spread-of-young-peoples-intimate-images-online/,"('Introduction of new features on Instagram to restrict suspicious adults from interacting with teens.', [1])","('Resources for teens on how to stop the spread the intimate images ', [2])","('Notification prompting teens to review privacy settings and stop any unwanted adult interactions', [1])"
3,https://about.fb.com/news/2019/11/community-standards-enforcement-report-nov-2019/,"('Enhanced proactive detection systems for hate speech.', [1])","('algorithms that diversify content, combat biases and echo chambers', [1])","('New metrics reported regarding suicide and self-injury and regulated goods', [1])"
4,https://about.fb.com/news/2020/09/stepping-up-the-fight-against-climate-change/,"('Partnership with fact-checking organizations to tackle climate misinformation', [2, 3])","('Partner with climate fact-checking organization to reduce distribution of factually false climate content ', [1])","('Center providing information on climate change', [2])"
5,https://about.fb.com/news/2019/04/new-privacy-settings-for-groups/,"(""Replacement of 'Nobody' option with 'My Contacts Except' for group invites."", [1])","('Allow TikTok LIVE hosts and moderators to mute a viewer who makes an inappropriate comment, which also hides their previous comments', [1])",
6,https://about.fb.com/news/2021/02/preventing-child-exploitation-on-our-apps/,"(""Using Google's Content Safety API to prioritize child exploitation content."", [1])","('Makes it easier to report child exploitation content ', [1])",
7,https://about.fb.com/news/2020/12/oversight-board-selects-case-on-nazi-quote/,"('Review and potential action on identical content with parallel context', [3])","(""Facebook's Oversight Board issued a series of binding decisions and non-binding recommendations regarding a content removal case which affects other content that have parallel context"", [3])","('More clearly defining Dangerous Individuals and Organizations policy wording', [2])"
8,https://about.fb.com/news/2021/02/an-update-on-myanmar/,"(""Indefinite suspension of Myanmar government agencies' ability to send content removal requests."", [3])",,
9,https://about.fb.com/news/2019/07/ftc-agreement/,"('Formalization and expansion of efforts to gain input from external experts.', [3])","('Establishes Oversight Board that will assess privacy across many platform designs and initiatives ', [1])","('Updating privacy controls after FTC agreement', [3])"
10,https://about.fb.com/news/2020/11/biannual-transparency-report/,"('Facebook reports on internet disruptions caused by governments that impact service availability.', [2])","('Release transparency reports that details how Facebook balances user privacy rights, government requests for user data, and public reporting on content restrictions, internet disruptions, and intellectual property-related content restrictions', [2])",
11,https://about.fb.com/news/2019/02/addressing-challenges/,"('Establishing an independent body for content decision appeals.', [3])",,"('Independent body where people can appeal potentially offensive content case decisions', [3])"
12,https://newsroom.snap.com/updated-new-mexico-ag-statement?lang=en-US,"('Leveraging advanced technology to detect and block certain activity', [1])",,
13,https://newsroom.snap.com/lens-fest-2021?lang=en-US,"('Implementation of Endurance Mode for Lenses', [1])",,
14,https://newsroom.snap.com/week-of-deaf-ar-lenses?lang=en-US,"('Launch of AR Lenses for fingerspelling using SignAll’s AI technology', [1])","('Launched 3 augmented reality enabled lenses to encourage Snapchatters to finger spell ', [1])","('New tools honoring users who are deaf', [1])"
15,https://newsroom.snap.com/rewarding-creativity?lang=en-US,"('Requirement for Snaps to adhere to Community and Spotlight Guidelines', [3])",,
16,https://newsroom.snap.com/supporting-snapchatters-mental-health-and-wellbeing?lang=en-US,"(""Debut of Snap Original 'Everything’s Fine' addressing mental health through storytelling."", [1, 2])","('Release a Snap Original film that shares a story of a college student who is coping with her bipolar diagnosis', [2])","('Adding stickers paired with resources for mental health support', [1, 2])"
17,https://newsroom.snap.com/snapchat-plus-one-year-four-million-subscribers?lang=en-US,,,
18,https://newsroom.snap.com/snapchat-plus-11-million?lang=en-US,,,
19,https://newsroom.snap.com/eu-ai-pact?lang=en-US,"('Promote AI awareness and literacy among staff and stakeholders.', [2, 3])","('Evaluate whether AI systems developed or deployed are considered high risk under the AI Act', [1, 3])","(""Joining EU's new AI pat"", [3])"
20,https://newsroom.snap.com/snapchat-lacma-unveil-third-and-final-monumental-perspectives?lang=en-US,,,
